title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Fuuma no Kojirou,14230,Manga,42.0,10.0,Finished,['Action'],6.68,11357.0,"['Kurumada, Masami']",Shounen Jump (Weekly)
Great Mazinger,98118,Manga,13.0,2.0,Finished,"['Action', 'Sci-Fi']",,21204.0,"['Nagai, Go']",Televi Magazine
Harenchi Gakuen,12808,Manga,,13.0,Finished,"['Comedy', 'Ecchi']",,17359.0,"['Nagai, Go']",Shounen Jump (Weekly)
Karakurizoushi Ayatsuri Sakon,1462,Manga,32.0,4.0,Finished,['Mystery'],7.06,6864.0,"['Obata, Takeshi', 'Miyazaki, Masaru']",Shounen Jump (Weekly)
Koukaku Kidoutai: Stand Alone Complex,31935,Manga,42.0,5.0,Finished,"['Action', 'Sci-Fi']",7.31,4074.0,"['Kinutani, Yuu']",Young Magazine (Weekly)
Maou Dante (2002),8782,Manga,,4.0,Finished,['Horror'],6.45,13458.0,"['Nagai, Go']",Magazine-Z
Pierce,34871,One-shot,1.0,,Finished,['Slice of Life'],6.27,14434.0,"['Inoue, Takehiko']",Shounen Jump (Weekly)
Ring ni Kakero,14231,Manga,122.0,25.0,Finished,['Sports'],6.82,9776.0,"['Kurumada, Masami']",Shounen Jump (Weekly)
Saint Seiya,1045,Manga,110.0,28.0,Finished,"['Action', 'Adventure']",7.56,2199.0,"['Kurumada, Masami']",Shounen Jump (Weekly)
Susanoou,8566,Manga,,9.0,Finished,"['Action', 'Award Winning', 'Drama', 'Supernatural']",6.72,10853.0,"['Nagai, Go']",Shounen Magazine (Weekly)
Zubaban,112476,Manga,18.0,3.0,Finished,"['Action', 'Adventure', 'Supernatural']",,30604.0,"['Nagai, Go']",Shounen Sunday
Chou to Hana no Kankeisei,114192,Manga,12.0,2.0,Finished,"['Boys Love', 'Drama', 'Erotica']",6.95,,['akabeko'],Reijin Uno!
Evening Dinner,138905,Manga,5.0,1.0,Finished,"['Boys Love', 'Erotica']",6.69,,['Maripaka'],Daria
"Furimuite, Yukino-chan!",130925,Manga,11.0,1.0,Finished,"['Boys Love', 'Erotica']",6.73,,"['Yuuki, Niko']",B-BOY P!
Haga-kun wa Kamaretai,132394,Manga,6.0,1.0,Finished,"['Boys Love', 'Erotica']",6.96,,"['Sakishita, Senmu']",Charles Mag Omegaverse
Happy Kuso Life,119916,Manga,,,Publishing,"['Boys Love', 'Comedy', 'Erotica']",7.44,,['Harada'],Qpa
Hitotsu Yane no Shita no Kedamono,95626,Manga,6.0,1.0,Finished,"['Boys Love', 'Comedy', 'Erotica']",6.56,,"['Kuroiwa, Chihaya']",Canna
Kemono ni Namida,49773,Manga,7.0,1.0,Finished,"['Boys Love', 'Erotica']",6.47,,"['Mito, Hitomi']",GUSH
Mie Hariatte Surechigai,87515,Manga,6.0,1.0,Finished,"['Boys Love', 'Slice of Life', 'Erotica']",6.51,,"['Yukue, Moegi']",Canna
Namaiki Kareshi,96165,Manga,7.0,1.0,Finished,"['Boys Love', 'Comedy', 'Romance', 'Erotica']",7.18,,"['Yoshio, Akira']",B's-LOVEY recottia
